,entity_id,sex,age_cat,race,priors_count,c_charge_degree,label_value
1578,2416,Female,25 - 45,Caucasian,1,M,1
1579,2418,Male,Greater than 45,Caucasian,0,F,0
1580,2420,Male,25 - 45,Caucasian,0,M,1
1581,2421,Male,25 - 45,Caucasian,1,M,0
1582,2422,Male,25 - 45,African-American,1,F,0
1583,2425,Male,25 - 45,Caucasian,11,F,1
1584,2426,Male,Greater than 45,Caucasian,5,F,1
1585,2427,Male,25 - 45,African-American,9,F,1
1586,2428,Male,25 - 45,African-American,12,F,0
1587,2429,Male,25 - 45,Caucasian,1,F,0
1588,2430,Male,Greater than 45,African-American,8,F,1
1589,2431,Female,Less than 25,Caucasian,0,F,0
1590,2432,Male,25 - 45,African-American,0,F,0
1591,2437,Male,25 - 45,Other,3,F,0
1592,2438,Male,Greater than 45,Asian,0,M,0
1593,2439,Female,Greater than 45,African-American,1,M,0
1594,2441,Male,25 - 45,Other,0,F,0
1595,2442,Male,Less than 25,African-American,8,F,1
1596,2443,Male,25 - 45,Other,3,F,0
1597,2444,Male,Greater than 45,African-American,2,M,0
1598,2445,Male,25 - 45,African-American,5,F,1
1599,2446,Male,Less than 25,Caucasian,0,F,1
1600,2448,Male,Less than 25,African-American,0,F,1
1601,2451,Male,Greater than 45,Caucasian,0,M,0
1602,2453,Female,Greater than 45,Caucasian,5,M,1
1603,2454,Male,25 - 45,Other,1,F,0
1604,2456,Male,25 - 45,Caucasian,9,F,0
1605,2457,Male,25 - 45,Other,0,M,0
1606,2459,Male,25 - 45,African-American,0,F,0
1607,2460,Male,Greater than 45,Caucasian,3,F,1
1608,2462,Male,25 - 45,African-American,1,M,0
1609,2464,Male,Greater than 45,African-American,12,F,0
1610,2465,Male,25 - 45,African-American,2,F,0
1611,2467,Male,25 - 45,African-American,6,F,0
1612,2470,Male,Greater than 45,African-American,8,F,0
1613,2471,Male,Greater than 45,Hispanic,4,F,0
1614,2472,Male,25 - 45,Caucasian,9,M,0
1615,2474,Male,Greater than 45,African-American,8,F,1
1616,2475,Male,Greater than 45,Other,1,F,0
1617,2476,Male,25 - 45,African-American,13,F,1
1618,2477,Male,25 - 45,Caucasian,9,F,1
1619,2478,Male,25 - 45,African-American,0,F,0
1620,2479,Male,25 - 45,African-American,8,M,1
1621,2480,Male,25 - 45,African-American,1,F,0
1622,2482,Male,25 - 45,African-American,0,M,0
1623,2484,Male,Greater than 45,Caucasian,0,M,0
1624,2485,Female,25 - 45,African-American,2,F,0
1625,2486,Female,25 - 45,Caucasian,7,M,0
1626,2487,Male,25 - 45,African-American,1,F,1
1627,2488,Female,Greater than 45,Caucasian,0,M,1
1628,2489,Male,Less than 25,Hispanic,0,F,0
1629,2490,Male,25 - 45,African-American,8,F,1
1630,2493,Female,25 - 45,Caucasian,6,F,1
1631,2494,Female,Less than 25,African-American,2,F,1
1632,2495,Male,Less than 25,Caucasian,0,F,0
1633,2496,Male,Less than 25,Other,1,F,0
1634,2497,Male,Greater than 45,Other,2,F,0
1635,2498,Male,Greater than 45,Caucasian,2,M,0
1636,2499,Male,Greater than 45,Caucasian,3,F,1
1637,2501,Male,Less than 25,African-American,0,F,0
1638,2502,Male,Greater than 45,Hispanic,0,F,0
1639,2503,Female,25 - 45,African-American,7,F,1
1640,2504,Male,Less than 25,Caucasian,0,M,1
1641,2507,Male,25 - 45,African-American,5,M,0
1642,2509,Male,Less than 25,African-American,1,F,1
1643,2511,Male,25 - 45,Hispanic,2,M,0
1644,2512,Male,25 - 45,African-American,21,F,1
1645,2513,Male,Less than 25,African-American,13,F,1
1646,2514,Male,25 - 45,African-American,23,F,1
1647,2515,Male,25 - 45,African-American,11,F,0
1648,2516,Male,Less than 25,African-American,1,F,0
1649,2517,Male,25 - 45,African-American,9,F,0
1650,2518,Male,25 - 45,Hispanic,5,F,0
1651,2519,Male,25 - 45,African-American,24,F,1
1652,2520,Male,25 - 45,African-American,5,F,1
1653,2521,Female,Less than 25,African-American,1,F,0
1654,2523,Male,Greater than 45,African-American,19,F,0
1655,2524,Male,Less than 25,Other,0,M,0
1656,2525,Male,25 - 45,Caucasian,0,F,0
1657,2526,Male,Greater than 45,Caucasian,0,M,0
1658,2527,Male,25 - 45,African-American,6,F,1
1659,2529,Male,25 - 45,African-American,0,M,1
1660,2530,Male,Less than 25,African-American,0,F,1
1661,2532,Male,25 - 45,African-American,6,M,0
1662,2533,Male,Less than 25,Caucasian,0,M,1
1663,2534,Male,Greater than 45,Caucasian,1,F,1
1664,2536,Male,Greater than 45,African-American,27,M,0
1665,2537,Female,25 - 45,African-American,0,M,0
1666,2538,Male,Greater than 45,Caucasian,1,M,0
1667,2539,Female,25 - 45,African-American,4,M,1
1668,2540,Male,Less than 25,Caucasian,0,F,0
1669,2541,Male,Greater than 45,Caucasian,1,F,0
1670,2542,Male,25 - 45,African-American,6,F,1
1671,2543,Male,25 - 45,African-American,24,F,0
1672,2544,Male,25 - 45,Caucasian,13,F,1
1673,2546,Male,Greater than 45,African-American,0,F,0
1674,2548,Male,25 - 45,African-American,1,F,1
1675,2549,Male,Greater than 45,African-American,1,M,0
1676,2550,Male,25 - 45,Caucasian,0,F,0
1677,2554,Female,Greater than 45,Caucasian,8,F,0
1678,2556,Male,Less than 25,African-American,0,F,0
1679,2557,Male,25 - 45,African-American,14,F,0
1680,2560,Male,Less than 25,Caucasian,0,F,1
1681,2561,Female,25 - 45,Caucasian,2,F,1
1682,2562,Male,25 - 45,Hispanic,7,M,0
1683,2564,Male,25 - 45,Other,3,M,1
1684,2566,Male,25 - 45,African-American,2,M,0
1685,2567,Male,25 - 45,Caucasian,1,M,0
1686,2568,Male,Greater than 45,African-American,14,F,1
1687,2569,Male,25 - 45,Caucasian,0,M,0
1688,2571,Male,Less than 25,African-American,4,F,1
1689,2572,Female,25 - 45,African-American,2,F,1
1690,2573,Female,25 - 45,Caucasian,4,F,1
1691,2574,Male,Less than 25,Caucasian,2,F,0
1692,2575,Female,25 - 45,Caucasian,1,F,1
1693,2576,Male,Less than 25,Caucasian,1,F,1
1694,2578,Male,Greater than 45,Other,23,F,1
1695,2579,Female,25 - 45,African-American,0,M,0
1696,2580,Male,Greater than 45,Caucasian,1,F,0
1697,2581,Male,25 - 45,African-American,7,F,1
1698,2582,Male,Greater than 45,Caucasian,5,M,0
1699,2583,Female,25 - 45,Caucasian,4,F,0
1700,2584,Male,Less than 25,African-American,3,F,0
1701,2586,Male,25 - 45,Caucasian,1,F,0
1702,2588,Male,25 - 45,Hispanic,3,F,0
1703,2589,Female,25 - 45,Hispanic,5,F,0
1704,2591,Male,Less than 25,African-American,3,M,1
1705,2592,Male,25 - 45,Caucasian,0,M,1
1706,2593,Female,25 - 45,African-American,3,F,0
1707,2594,Male,Greater than 45,African-American,1,F,0
1708,2595,Female,Greater than 45,Hispanic,0,M,0
1709,2599,Female,Greater than 45,Native American,1,M,0
1710,2602,Male,Greater than 45,African-American,6,F,0
1711,2604,Male,25 - 45,African-American,7,F,1
1712,2605,Male,Greater than 45,Hispanic,1,M,0
1713,2606,Male,25 - 45,African-American,10,F,0
1714,2607,Female,Greater than 45,Caucasian,0,M,0
1715,2608,Male,25 - 45,African-American,0,M,1
1716,2609,Male,25 - 45,African-American,9,F,0
1717,2610,Male,Greater than 45,African-American,1,F,0
1718,2611,Female,25 - 45,African-American,1,M,0
1719,2612,Male,25 - 45,African-American,1,F,0
1720,2613,Male,Greater than 45,Caucasian,0,F,0
1721,2614,Male,25 - 45,Caucasian,6,F,0
1722,2615,Male,Greater than 45,African-American,0,F,0
1723,2616,Male,Less than 25,Hispanic,2,F,0
1724,2618,Male,25 - 45,African-American,27,F,1
1725,2619,Male,25 - 45,African-American,3,F,0
1726,2620,Male,25 - 45,African-American,7,M,1
1727,2621,Male,25 - 45,Caucasian,1,F,1
1728,2623,Male,25 - 45,African-American,8,F,0
1729,2624,Male,Greater than 45,African-American,0,F,1
1730,2625,Male,Greater than 45,Hispanic,3,M,0
1731,2630,Male,25 - 45,African-American,8,F,0
1732,2632,Male,Greater than 45,Caucasian,4,F,0
1733,2633,Male,Greater than 45,African-American,15,F,1
1734,2634,Male,25 - 45,Caucasian,7,F,1
1735,2637,Male,25 - 45,Caucasian,7,F,1
1736,2638,Male,Less than 25,Caucasian,0,M,0
1737,2639,Male,25 - 45,African-American,0,M,0
1738,2641,Male,25 - 45,Other,0,M,0
1739,2642,Male,Less than 25,Hispanic,1,F,0
1740,2643,Male,25 - 45,Caucasian,0,F,0
1741,2644,Male,25 - 45,Caucasian,1,M,1
1742,2645,Female,Greater than 45,Hispanic,9,F,0
1743,2649,Male,Greater than 45,Caucasian,1,F,0
1744,2650,Female,25 - 45,African-American,0,F,0
1745,2651,Male,Greater than 45,African-American,4,M,0
1746,2652,Male,25 - 45,African-American,5,F,0
1747,2654,Male,25 - 45,African-American,3,M,0
1748,2655,Male,Less than 25,African-American,0,F,0
1749,2656,Male,Greater than 45,Caucasian,1,F,0
1750,2657,Male,Greater than 45,African-American,1,M,0
1751,2658,Male,25 - 45,Caucasian,2,F,0
1752,2661,Female,25 - 45,Caucasian,11,F,1
1753,2662,Male,Less than 25,African-American,2,F,0
1754,2664,Male,25 - 45,African-American,0,F,1
1755,2666,Female,25 - 45,African-American,5,F,1
1756,2667,Male,Less than 25,Caucasian,0,F,0
1757,2668,Female,25 - 45,Caucasian,3,F,0
1758,2669,Male,Greater than 45,Caucasian,4,M,0
1759,2671,Male,25 - 45,African-American,7,F,1
1760,2672,Male,25 - 45,African-American,5,F,1
1761,2673,Male,Less than 25,African-American,1,F,0
1762,2676,Male,25 - 45,Caucasian,2,F,1
1763,2677,Male,Less than 25,Caucasian,2,F,0
1764,2678,Male,Less than 25,African-American,0,M,0
1765,2679,Female,25 - 45,Caucasian,0,M,0
1766,2680,Male,25 - 45,African-American,0,F,0
1767,2681,Male,25 - 45,African-American,1,F,0
1768,2682,Male,25 - 45,African-American,1,F,0
1769,2683,Male,Greater than 45,Caucasian,0,M,0
1770,2685,Female,Less than 25,African-American,0,F,0
1771,2686,Female,25 - 45,African-American,1,M,0
1772,2687,Male,Greater than 45,Caucasian,0,M,0
1773,2688,Male,25 - 45,African-American,3,F,1
1774,2689,Female,25 - 45,African-American,2,M,0
1775,2690,Female,Greater than 45,Caucasian,4,F,1
1776,2691,Male,Greater than 45,African-American,0,M,0
1777,2692,Male,25 - 45,Hispanic,3,F,1
1778,2696,Male,25 - 45,African-American,2,F,0
1779,2697,Male,Greater than 45,Hispanic,11,M,0
1780,2698,Female,Greater than 45,Caucasian,0,F,1
1781,2700,Male,Less than 25,African-American,0,F,0
1782,2703,Male,Greater than 45,African-American,3,F,0
1783,2704,Male,25 - 45,African-American,0,F,1
1784,2706,Female,25 - 45,African-American,1,F,0
1785,2707,Male,25 - 45,Caucasian,6,F,0
1786,2708,Male,25 - 45,African-American,5,M,0
1787,2711,Male,25 - 45,Caucasian,0,F,1
1788,2713,Male,25 - 45,Caucasian,4,M,0
1789,2714,Male,Greater than 45,Hispanic,1,M,0
1790,2716,Male,25 - 45,Caucasian,5,F,1
1791,2718,Female,25 - 45,African-American,0,F,1
1792,2719,Male,Less than 25,African-American,1,F,1
1793,2720,Male,25 - 45,Hispanic,1,M,0
1794,2721,Male,25 - 45,Other,24,F,1
1795,2722,Male,25 - 45,Hispanic,12,F,0
1796,2723,Male,25 - 45,African-American,4,F,1
1797,2724,Male,Greater than 45,Caucasian,6,F,1
1798,2728,Male,Less than 25,Asian,0,M,0
1799,2730,Male,Less than 25,African-American,3,F,1
1800,2731,Male,25 - 45,Hispanic,0,F,0
1801,2732,Male,Greater than 45,African-American,23,F,1
1802,2733,Male,Greater than 45,Other,1,F,0
1803,2735,Male,25 - 45,African-American,13,F,1
1804,2736,Male,25 - 45,Caucasian,14,F,1
1805,2737,Male,25 - 45,African-American,9,F,1
1806,2738,Male,25 - 45,Other,0,M,0
1807,2740,Male,25 - 45,African-American,8,F,1
1808,2742,Female,25 - 45,Caucasian,3,F,1
1809,2745,Male,25 - 45,Caucasian,0,F,0
1810,2746,Male,Greater than 45,Caucasian,1,M,1
1811,2747,Male,Less than 25,Caucasian,2,F,1
1812,2748,Male,25 - 45,Caucasian,0,M,0
1813,2749,Male,25 - 45,African-American,7,M,0
1814,2750,Male,25 - 45,African-American,5,F,0
1815,2751,Female,Greater than 45,Hispanic,2,F,0
1816,2752,Male,Greater than 45,Caucasian,0,M,0
1817,2753,Male,25 - 45,African-American,5,F,1
1818,2754,Female,25 - 45,Caucasian,0,M,0
1819,2758,Male,25 - 45,African-American,0,F,0
1820,2759,Male,25 - 45,Caucasian,6,M,0
1821,2760,Male,25 - 45,African-American,2,F,0
1822,2762,Male,Less than 25,African-American,3,F,1
1823,2764,Male,25 - 45,Caucasian,2,M,0
1824,2765,Female,25 - 45,African-American,0,M,0
1825,2766,Male,25 - 45,African-American,8,F,1
1826,2767,Male,Greater than 45,Caucasian,2,M,1
1827,2770,Female,Less than 25,Other,0,F,0
1828,2771,Male,25 - 45,Caucasian,3,M,0
1829,2772,Male,Less than 25,African-American,2,M,1
1830,2773,Female,Greater than 45,African-American,14,M,1
1831,2775,Male,25 - 45,Caucasian,9,M,1
1832,2776,Male,25 - 45,Caucasian,9,M,0
1833,2777,Male,25 - 45,African-American,1,M,0
1834,2779,Female,Greater than 45,Caucasian,3,F,0
1835,2780,Male,Greater than 45,Caucasian,0,M,0
1836,2782,Male,25 - 45,African-American,19,M,1
1837,2786,Male,25 - 45,African-American,1,F,0
1838,2787,Female,25 - 45,African-American,0,F,1
1839,2788,Male,Greater than 45,Caucasian,0,F,0
1840,2789,Male,Less than 25,Hispanic,0,M,1
1841,2790,Male,25 - 45,Caucasian,0,M,0
1842,2792,Male,25 - 45,African-American,5,M,0
1843,2793,Male,25 - 45,African-American,11,F,0
1844,2794,Male,25 - 45,Caucasian,4,M,1
1845,2797,Male,25 - 45,African-American,0,M,1
1846,2800,Male,Less than 25,African-American,0,M,0
1847,2802,Male,25 - 45,Caucasian,0,M,0
1848,2804,Male,25 - 45,African-American,10,M,1
1849,2805,Male,Greater than 45,African-American,4,F,0
1850,2807,Male,Less than 25,Hispanic,11,F,1
1851,2808,Male,25 - 45,African-American,1,F,0
1852,2809,Male,Less than 25,African-American,0,F,0
1853,2813,Male,25 - 45,African-American,8,M,1
1854,2814,Male,25 - 45,Caucasian,5,M,1
1855,2817,Male,25 - 45,Caucasian,1,F,0
1856,2819,Male,Less than 25,African-American,0,F,1
1857,2820,Male,Greater than 45,Caucasian,0,M,0
1858,2821,Female,25 - 45,Caucasian,3,F,0
1859,2824,Male,Greater than 45,Hispanic,9,F,1
1860,2825,Male,Less than 25,Caucasian,1,F,1
1861,2828,Female,Less than 25,African-American,0,M,1
1862,2829,Male,25 - 45,Hispanic,1,F,0
1863,2830,Male,Greater than 45,African-American,4,F,0
1864,2834,Male,25 - 45,Native American,1,F,0
1865,2835,Male,25 - 45,Caucasian,10,F,1
1866,2836,Male,Greater than 45,Asian,1,F,1
1867,2837,Female,Greater than 45,African-American,3,M,0
1868,2841,Male,Less than 25,Caucasian,3,M,0
1869,2842,Male,Less than 25,African-American,0,F,1
1870,2843,Male,25 - 45,Caucasian,0,M,0
1871,2844,Male,Less than 25,Hispanic,3,F,1
1872,2845,Male,Greater than 45,Caucasian,10,F,1
1873,2846,Male,25 - 45,Caucasian,1,F,1
1874,2848,Male,Less than 25,Caucasian,0,M,1
1875,2851,Male,25 - 45,Other,6,F,0
1876,2852,Male,25 - 45,African-American,0,F,0
1877,2854,Male,25 - 45,African-American,19,F,1
1878,2855,Female,25 - 45,African-American,1,M,1
1879,2856,Male,25 - 45,African-American,6,F,0
1880,2857,Male,25 - 45,African-American,2,F,0
1881,2859,Male,25 - 45,Caucasian,11,F,1
1882,2860,Male,25 - 45,African-American,0,F,0
1883,2862,Male,25 - 45,African-American,1,F,1
1884,2863,Male,Less than 25,Other,3,F,1
1885,2864,Male,25 - 45,African-American,7,F,1
1886,2865,Male,Less than 25,African-American,2,F,1
1887,2867,Male,25 - 45,Caucasian,0,F,0
1888,2868,Male,Less than 25,Caucasian,0,M,0
1889,2869,Male,25 - 45,Hispanic,0,M,0
1890,2870,Male,Less than 25,African-American,2,M,1
1891,2871,Male,Less than 25,African-American,0,F,1
1892,2873,Male,25 - 45,Caucasian,15,F,1
1893,2874,Male,25 - 45,African-American,2,M,1
1894,2875,Male,25 - 45,African-American,10,F,1
1895,2876,Female,Less than 25,African-American,4,M,1
1896,2879,Male,25 - 45,Caucasian,0,M,0
1897,2880,Male,Greater than 45,Caucasian,8,F,0
1898,2882,Male,25 - 45,Caucasian,5,F,1
1899,2883,Male,25 - 45,African-American,14,F,1
1900,2885,Male,25 - 45,African-American,13,F,1
1901,2886,Male,25 - 45,African-American,9,F,1
1902,2887,Male,25 - 45,African-American,0,M,0
1903,2890,Female,Greater than 45,African-American,21,F,1
1904,2891,Male,Less than 25,Hispanic,1,M,1
1905,2892,Male,Greater than 45,African-American,1,F,0
1906,2893,Male,25 - 45,African-American,4,F,0
1907,2896,Male,25 - 45,African-American,5,F,1
1908,2897,Male,25 - 45,Caucasian,1,F,1
1909,2898,Female,25 - 45,Caucasian,0,M,0
1910,2899,Male,25 - 45,Caucasian,11,F,1
1911,2900,Male,Less than 25,African-American,3,M,0
1912,2901,Male,25 - 45,African-American,6,F,1
1913,2902,Male,25 - 45,Caucasian,0,M,0
1914,2903,Male,25 - 45,African-American,2,F,1
1915,2907,Male,Less than 25,African-American,3,F,1
1916,2908,Male,Less than 25,African-American,0,F,0
1917,2910,Male,25 - 45,Caucasian,0,M,0
1918,2911,Male,25 - 45,African-American,0,M,1
1919,2913,Male,25 - 45,African-American,18,M,0
1920,2914,Male,25 - 45,African-American,1,F,0
1921,2915,Male,25 - 45,Caucasian,2,F,1
1922,2917,Male,25 - 45,Caucasian,3,M,0
1923,2918,Female,25 - 45,Hispanic,4,F,1
1924,2922,Male,Greater than 45,African-American,5,M,0
1925,2923,Male,25 - 45,Other,0,M,0
1926,2925,Male,Greater than 45,Hispanic,0,M,0
1927,2926,Male,Less than 25,African-American,0,F,1
1928,2927,Male,25 - 45,African-American,7,F,1
1929,2928,Male,25 - 45,African-American,1,M,0
1930,2929,Male,Less than 25,Caucasian,0,F,0
1931,2930,Male,25 - 45,African-American,10,M,1
1932,2931,Male,25 - 45,African-American,0,F,0
1933,2932,Male,25 - 45,African-American,2,F,0
1934,2933,Male,25 - 45,African-American,8,F,1
1935,2934,Male,25 - 45,African-American,1,F,1
1936,2935,Male,Greater than 45,Caucasian,0,M,0
1937,2936,Male,25 - 45,African-American,1,F,0
1938,2937,Male,Less than 25,Caucasian,0,F,1
1939,2938,Male,25 - 45,African-American,1,F,0
1940,2939,Female,Less than 25,African-American,6,M,0
1941,2943,Male,25 - 45,Caucasian,0,F,0
1942,2946,Male,25 - 45,Caucasian,1,F,0
1943,2949,Male,Greater than 45,Caucasian,1,F,1
1944,2951,Male,25 - 45,African-American,0,F,0
1945,2952,Male,Less than 25,African-American,0,F,0
1946,2954,Male,Less than 25,Caucasian,0,F,0
1947,2955,Male,25 - 45,African-American,1,M,0
1948,2956,Male,Greater than 45,Caucasian,9,M,0
1949,2959,Male,25 - 45,African-American,2,M,0
1950,2961,Male,25 - 45,African-American,0,F,1
1951,2962,Male,25 - 45,African-American,1,M,0
1952,2963,Male,25 - 45,Caucasian,0,F,0
1953,2964,Male,Less than 25,Caucasian,1,F,1
1954,2965,Male,25 - 45,Hispanic,3,M,0
1955,2968,Male,25 - 45,African-American,4,M,1
1956,2969,Male,Greater than 45,Caucasian,3,M,1
1957,2970,Male,25 - 45,Native American,0,F,0
1958,2972,Male,Greater than 45,African-American,0,F,0
1959,2973,Female,Less than 25,Other,2,F,1
1960,2974,Male,Greater than 45,African-American,8,F,1
1961,2976,Male,25 - 45,African-American,5,M,0
1962,2977,Female,Greater than 45,African-American,1,M,0
1963,2979,Male,25 - 45,African-American,9,F,0
1964,2982,Male,Greater than 45,African-American,5,F,1
1965,2983,Female,25 - 45,Caucasian,0,F,0
1966,2984,Male,Greater than 45,African-American,5,M,0
1967,2985,Male,Greater than 45,Caucasian,0,F,1
1968,2988,Male,Greater than 45,Caucasian,2,F,0
1969,2990,Male,Greater than 45,Caucasian,0,M,0
1970,2991,Male,Greater than 45,African-American,4,F,1
1971,2992,Female,25 - 45,African-American,0,F,0
1972,2993,Male,Less than 25,Hispanic,2,F,1
1973,2995,Male,Greater than 45,African-American,16,F,0
1974,2996,Male,Less than 25,Other,0,F,0
1975,2997,Male,25 - 45,African-American,21,F,1
1976,2998,Female,Less than 25,Hispanic,0,M,0
1977,3003,Male,25 - 45,African-American,1,F,0
1978,3004,Male,25 - 45,African-American,8,F,1
1979,3005,Male,Less than 25,African-American,1,F,0
1980,3008,Male,25 - 45,Caucasian,1,M,1
1981,3009,Male,Greater than 45,Hispanic,8,M,0
1982,3010,Male,Greater than 45,Caucasian,0,M,0
1983,3014,Male,Less than 25,African-American,1,F,1
1984,3015,Male,Greater than 45,Caucasian,1,M,1
1985,3019,Male,Greater than 45,Caucasian,0,M,1
1986,3020,Male,Greater than 45,African-American,2,F,0
1987,3021,Female,25 - 45,African-American,11,F,1
1988,3022,Male,25 - 45,African-American,4,M,0
1989,3023,Male,25 - 45,African-American,14,F,1
1990,3025,Male,25 - 45,African-American,2,F,0
1991,3027,Male,Greater than 45,African-American,5,F,1
1992,3029,Male,25 - 45,African-American,0,F,1
1993,3030,Male,25 - 45,African-American,12,F,0
1994,3031,Male,25 - 45,Caucasian,7,F,1
1995,3032,Male,25 - 45,African-American,8,F,0
1996,3033,Male,25 - 45,Other,5,F,0
1997,3034,Female,25 - 45,African-American,1,M,0
1998,3035,Male,25 - 45,Caucasian,4,F,0
1999,3036,Female,25 - 45,African-American,0,M,0
2000,3037,Male,Less than 25,Hispanic,1,F,0
2001,3038,Female,Greater than 45,Caucasian,7,M,0
2002,3039,Male,25 - 45,Caucasian,1,F,1
2003,3040,Male,Greater than 45,African-American,1,F,0
2004,3041,Male,25 - 45,Caucasian,0,M,1
2005,3042,Female,25 - 45,African-American,4,M,0
2006,3043,Male,25 - 45,African-American,3,F,0
2007,3046,Male,25 - 45,African-American,4,F,0
2008,3051,Male,Greater than 45,African-American,0,M,0
2009,3053,Male,25 - 45,African-American,2,M,0
2010,3055,Male,Greater than 45,African-American,5,F,0
2011,3056,Male,25 - 45,African-American,0,F,0
2012,3057,Male,25 - 45,African-American,4,F,1
2013,3058,Male,25 - 45,African-American,0,M,0
2014,3064,Male,25 - 45,Caucasian,1,M,0
2015,3066,Female,25 - 45,African-American,1,F,0
2016,3067,Male,25 - 45,African-American,13,M,1
2017,3068,Male,25 - 45,African-American,9,F,0
2018,3069,Male,25 - 45,Caucasian,1,F,0
2019,3071,Female,25 - 45,African-American,4,F,1
2020,3074,Male,25 - 45,Caucasian,0,F,0
2021,3075,Male,Greater than 45,Caucasian,5,M,0
2022,3078,Female,25 - 45,Caucasian,1,M,0
2023,3081,Male,25 - 45,African-American,3,F,0
2024,3084,Female,Greater than 45,African-American,7,M,0
2025,3085,Male,Less than 25,African-American,0,F,0
2026,3086,Male,25 - 45,Hispanic,16,F,1
2027,3087,Male,25 - 45,African-American,2,F,1
2028,3089,Female,Less than 25,African-American,0,M,0
2029,3090,Male,25 - 45,African-American,1,F,0
2030,3093,Female,Less than 25,Caucasian,1,F,0
2031,3094,Male,25 - 45,African-American,13,M,1
2032,3096,Male,Greater than 45,African-American,0,F,0
2033,3101,Male,25 - 45,African-American,2,F,0
2034,3104,Female,25 - 45,Other,0,M,0
2035,3107,Male,Greater than 45,Caucasian,0,M,0
2036,3110,Male,Less than 25,Caucasian,0,M,1
2037,3111,Male,25 - 45,African-American,6,M,0
2038,3112,Male,25 - 45,African-American,0,F,0
2039,3113,Male,25 - 45,Hispanic,2,F,1
2040,3114,Male,25 - 45,Asian,2,F,1
2041,3115,Female,25 - 45,African-American,7,M,0
2042,3116,Male,Less than 25,African-American,1,F,1
2043,3117,Male,Less than 25,African-American,3,F,1
2044,3118,Male,25 - 45,African-American,2,M,0
2045,3120,Male,Less than 25,Hispanic,0,F,1
2046,3122,Male,Greater than 45,Caucasian,2,M,0
2047,3129,Male,Greater than 45,African-American,1,F,0
2048,3130,Male,25 - 45,African-American,19,F,0
2049,3131,Male,25 - 45,Hispanic,8,F,1
2050,3132,Male,25 - 45,Hispanic,5,F,1
2051,3134,Male,Less than 25,African-American,1,M,1
2052,3135,Male,25 - 45,African-American,7,F,0
2053,3136,Female,25 - 45,Caucasian,0,M,0
2054,3137,Male,Greater than 45,Caucasian,2,M,0
2055,3138,Male,25 - 45,African-American,11,F,1
2056,3139,Male,25 - 45,Hispanic,0,F,0
2057,3143,Male,25 - 45,Caucasian,6,F,1
2058,3144,Male,Greater than 45,African-American,38,F,1
2059,3145,Male,25 - 45,African-American,7,F,1
2060,3146,Male,25 - 45,Hispanic,0,F,1
2061,3152,Female,25 - 45,Caucasian,7,F,0
2062,3153,Male,25 - 45,Caucasian,0,F,0
2063,3154,Male,25 - 45,Other,3,F,0
2064,3155,Male,25 - 45,Other,4,F,1
2065,3156,Male,Greater than 45,Caucasian,4,F,0
2066,3157,Male,Less than 25,Caucasian,0,F,0
2067,3158,Male,25 - 45,African-American,1,F,0
2068,3159,Male,25 - 45,Caucasian,0,F,0
2069,3160,Male,Less than 25,African-American,1,F,1
2070,3161,Male,25 - 45,Hispanic,0,F,0
2071,3162,Male,25 - 45,Caucasian,7,M,1
2072,3163,Male,25 - 45,Caucasian,0,M,0
2073,3164,Male,25 - 45,African-American,13,F,1
2074,3165,Male,25 - 45,Caucasian,2,F,1
2075,3166,Male,Less than 25,Caucasian,0,F,1
2076,3168,Male,25 - 45,African-American,4,F,1
2077,3169,Male,Greater than 45,Caucasian,0,M,0
2078,3170,Female,25 - 45,African-American,0,M,1
2079,3174,Male,Less than 25,Other,0,F,1
2080,3175,Male,Greater than 45,Caucasian,1,M,1
2081,3176,Male,25 - 45,African-American,4,F,0
2082,3177,Male,25 - 45,African-American,4,F,1
2083,3178,Male,Less than 25,Caucasian,5,F,1
2084,3181,Male,Less than 25,Caucasian,0,F,1
2085,3182,Male,25 - 45,African-American,2,F,0
2086,3183,Male,25 - 45,African-American,1,F,1
2087,3186,Female,25 - 45,Caucasian,2,F,0
2088,3188,Male,Greater than 45,Other,2,F,0
2089,3189,Male,25 - 45,African-American,23,F,1
2090,3190,Male,Less than 25,African-American,0,F,0
2091,3191,Male,25 - 45,African-American,4,F,0
2092,3192,Male,25 - 45,Caucasian,0,M,0
2093,3197,Female,25 - 45,Other,0,M,0
2094,3198,Male,Less than 25,Other,0,F,0
2095,3200,Male,25 - 45,African-American,1,F,1
2096,3203,Female,Less than 25,Caucasian,0,F,0
2097,3204,Male,Less than 25,Other,1,F,0
2098,3205,Male,Greater than 45,Caucasian,2,M,0
2099,3206,Male,25 - 45,African-American,9,F,0
2100,3207,Male,Greater than 45,Other,0,M,0
2101,3208,Female,25 - 45,African-American,0,M,0
2102,3209,Male,Less than 25,African-American,3,F,0
2103,3212,Male,25 - 45,African-American,0,F,1
2104,3214,Female,25 - 45,Hispanic,3,M,1
2105,3215,Male,Greater than 45,Caucasian,0,M,0
2106,3217,Male,25 - 45,Caucasian,0,F,0
2107,3218,Male,25 - 45,Other,0,M,0
2108,3222,Male,25 - 45,African-American,6,F,0
2109,3223,Male,Greater than 45,Caucasian,9,F,1
2110,3225,Male,Less than 25,African-American,0,F,1
2111,3226,Male,25 - 45,African-American,4,F,0
2112,3227,Male,25 - 45,Caucasian,1,F,1
2113,3229,Male,25 - 45,Caucasian,2,F,0
2114,3230,Female,Greater than 45,African-American,4,F,0
